policy,task,official_episode_id,repeat_id,seed,horizon
dexbotic,carrot,0,0,21270523,60
dexbotic,carrot,1,0,21270524,60
dexbotic,carrot,2,0,21270525,60
dexbotic,carrot,3,0,21270526,60
dexbotic,carrot,4,0,21270527,60
dexbotic,carrot,5,0,21270528,60
dexbotic,carrot,6,0,21270529,60
dexbotic,carrot,7,0,21270530,60
dexbotic,carrot,8,0,21270531,60
dexbotic,carrot,9,0,21270532,60
dexbotic,carrot,10,0,21270533,60
dexbotic,carrot,11,0,21270534,60
dexbotic,carrot,12,0,21270535,60
dexbotic,carrot,13,0,21270536,60
dexbotic,carrot,14,0,21270537,60
dexbotic,carrot,15,0,21270538,60
dexbotic,carrot,16,0,21270539,60
dexbotic,carrot,17,0,21270540,60
dexbotic,carrot,18,0,21270541,60
dexbotic,carrot,19,0,21270542,60
dexbotic,carrot,20,0,21270543,60
dexbotic,carrot,21,0,21270544,60
dexbotic,carrot,22,0,21270545,60
dexbotic,carrot,23,0,21270546,60
dexbotic,carrot,0,1,21270623,60
dexbotic,carrot,1,1,21270624,60
dexbotic,carrot,2,1,21270625,60
dexbotic,carrot,3,1,21270626,60
dexbotic,carrot,4,1,21270627,60
dexbotic,carrot,5,1,21270628,60
dexbotic,carrot,6,1,21270629,60
dexbotic,carrot,7,1,21270630,60
dexbotic,carrot,8,1,21270631,60
dexbotic,carrot,9,1,21270632,60
dexbotic,carrot,10,1,21270633,60
dexbotic,carrot,11,1,21270634,60
dexbotic,carrot,12,1,21270635,60
dexbotic,carrot,13,1,21270636,60
dexbotic,carrot,14,1,21270637,60
dexbotic,carrot,15,1,21270638,60
dexbotic,carrot,16,1,21270639,60
dexbotic,carrot,17,1,21270640,60
dexbotic,carrot,18,1,21270641,60
dexbotic,carrot,19,1,21270642,60
dexbotic,carrot,20,1,21270643,60
dexbotic,carrot,21,1,21270644,60
dexbotic,carrot,22,1,21270645,60
dexbotic,carrot,23,1,21270646,60
dexbotic,carrot,0,2,21270723,60
dexbotic,carrot,1,2,21270724,60
dexbotic,carrot,2,2,21270725,60
dexbotic,carrot,3,2,21270726,60
dexbotic,carrot,4,2,21270727,60
dexbotic,carrot,5,2,21270728,60
dexbotic,carrot,6,2,21270729,60
dexbotic,carrot,7,2,21270730,60
dexbotic,carrot,8,2,21270731,60
dexbotic,carrot,9,2,21270732,60
dexbotic,carrot,10,2,21270733,60
dexbotic,carrot,11,2,21270734,60
dexbotic,carrot,12,2,21270735,60
dexbotic,carrot,13,2,21270736,60
dexbotic,carrot,14,2,21270737,60
dexbotic,carrot,15,2,21270738,60
dexbotic,carrot,16,2,21270739,60
dexbotic,carrot,17,2,21270740,60
dexbotic,carrot,18,2,21270741,60
dexbotic,carrot,19,2,21270742,60
dexbotic,carrot,20,2,21270743,60
dexbotic,carrot,21,2,21270744,60
dexbotic,carrot,22,2,21270745,60
dexbotic,carrot,23,2,21270746,60
dexbotic,carrot,0,3,21270823,60
dexbotic,carrot,1,3,21270824,60
dexbotic,carrot,2,3,21270825,60
dexbotic,carrot,3,3,21270826,60
dexbotic,carrot,4,3,21270827,60
dexbotic,carrot,5,3,21270828,60
dexbotic,carrot,6,3,21270829,60
dexbotic,carrot,7,3,21270830,60
dexbotic,carrot,8,3,21270831,60
dexbotic,carrot,9,3,21270832,60
dexbotic,carrot,10,3,21270833,60
dexbotic,carrot,11,3,21270834,60
dexbotic,carrot,12,3,21270835,60
dexbotic,carrot,13,3,21270836,60
dexbotic,carrot,14,3,21270837,60
dexbotic,carrot,15,3,21270838,60
dexbotic,carrot,16,3,21270839,60
dexbotic,carrot,17,3,21270840,60
dexbotic,carrot,18,3,21270841,60
dexbotic,carrot,19,3,21270842,60
dexbotic,carrot,20,3,21270843,60
dexbotic,carrot,21,3,21270844,60
dexbotic,carrot,22,3,21270845,60
dexbotic,carrot,23,3,21270846,60
dexbotic,carrot,0,4,21270923,60
dexbotic,carrot,1,4,21270924,60
dexbotic,carrot,2,4,21270925,60
dexbotic,carrot,3,4,21270926,60
dexbotic,carrot,4,4,21270927,60
dexbotic,carrot,5,4,21270928,60
dexbotic,carrot,6,4,21270929,60
dexbotic,carrot,7,4,21270930,60
dexbotic,carrot,8,4,21270931,60
dexbotic,carrot,9,4,21270932,60
dexbotic,carrot,10,4,21270933,60
dexbotic,carrot,11,4,21270934,60
dexbotic,carrot,12,4,21270935,60
dexbotic,carrot,13,4,21270936,60
dexbotic,carrot,14,4,21270937,60
dexbotic,carrot,15,4,21270938,60
dexbotic,carrot,16,4,21270939,60
dexbotic,carrot,17,4,21270940,60
dexbotic,carrot,18,4,21270941,60
dexbotic,carrot,19,4,21270942,60
dexbotic,carrot,20,4,21270943,60
dexbotic,carrot,21,4,21270944,60
dexbotic,carrot,22,4,21270945,60
dexbotic,carrot,23,4,21270946,60
dexbotic,carrot,0,5,21271023,60
dexbotic,carrot,1,5,21271024,60
dexbotic,carrot,2,5,21271025,60
dexbotic,carrot,3,5,21271026,60
dexbotic,carrot,4,5,21271027,60
dexbotic,carrot,5,5,21271028,60
dexbotic,carrot,6,5,21271029,60
dexbotic,carrot,7,5,21271030,60
dexbotic,carrot,8,5,21271031,60
dexbotic,carrot,9,5,21271032,60
dexbotic,carrot,10,5,21271033,60
dexbotic,carrot,11,5,21271034,60
dexbotic,carrot,12,5,21271035,60
dexbotic,carrot,13,5,21271036,60
dexbotic,carrot,14,5,21271037,60
dexbotic,carrot,15,5,21271038,60
dexbotic,carrot,16,5,21271039,60
dexbotic,carrot,17,5,21271040,60
dexbotic,carrot,18,5,21271041,60
dexbotic,carrot,19,5,21271042,60
dexbotic,carrot,20,5,21271043,60
dexbotic,carrot,21,5,21271044,60
dexbotic,carrot,22,5,21271045,60
dexbotic,carrot,23,5,21271046,60
dexbotic,carrot,0,6,21271123,60
dexbotic,carrot,1,6,21271124,60
dexbotic,carrot,2,6,21271125,60
dexbotic,carrot,3,6,21271126,60
dexbotic,carrot,4,6,21271127,60
dexbotic,carrot,5,6,21271128,60
dexbotic,carrot,6,6,21271129,60
dexbotic,carrot,7,6,21271130,60
dexbotic,carrot,8,6,21271131,60
dexbotic,carrot,9,6,21271132,60
dexbotic,carrot,10,6,21271133,60
dexbotic,carrot,11,6,21271134,60
dexbotic,carrot,12,6,21271135,60
dexbotic,carrot,13,6,21271136,60
dexbotic,carrot,14,6,21271137,60
dexbotic,carrot,15,6,21271138,60
dexbotic,carrot,16,6,21271139,60
dexbotic,carrot,17,6,21271140,60
dexbotic,carrot,18,6,21271141,60
dexbotic,carrot,19,6,21271142,60
dexbotic,carrot,20,6,21271143,60
dexbotic,carrot,21,6,21271144,60
dexbotic,carrot,22,6,21271145,60
dexbotic,carrot,23,6,21271146,60
dexbotic,carrot,0,7,21271223,60
dexbotic,carrot,1,7,21271224,60
dexbotic,carrot,2,7,21271225,60
dexbotic,carrot,3,7,21271226,60
dexbotic,carrot,4,7,21271227,60
dexbotic,carrot,5,7,21271228,60
dexbotic,carrot,6,7,21271229,60
dexbotic,carrot,7,7,21271230,60
dexbotic,carrot,8,7,21271231,60
dexbotic,carrot,9,7,21271232,60
dexbotic,carrot,10,7,21271233,60
dexbotic,carrot,11,7,21271234,60
dexbotic,carrot,12,7,21271235,60
dexbotic,carrot,13,7,21271236,60
dexbotic,carrot,14,7,21271237,60
dexbotic,carrot,15,7,21271238,60
dexbotic,carrot,16,7,21271239,60
dexbotic,carrot,17,7,21271240,60
dexbotic,carrot,18,7,21271241,60
dexbotic,carrot,19,7,21271242,60
dexbotic,carrot,20,7,21271243,60
dexbotic,carrot,21,7,21271244,60
dexbotic,carrot,22,7,21271245,60
dexbotic,carrot,23,7,21271246,60
dexbotic,carrot,0,8,21271323,60
dexbotic,carrot,1,8,21271324,60
dexbotic,carrot,2,8,21271325,60
dexbotic,carrot,3,8,21271326,60
dexbotic,carrot,4,8,21271327,60
dexbotic,carrot,5,8,21271328,60
dexbotic,carrot,6,8,21271329,60
dexbotic,carrot,7,8,21271330,60
dexbotic,carrot,8,8,21271331,60
dexbotic,carrot,9,8,21271332,60
dexbotic,carrot,10,8,21271333,60
dexbotic,carrot,11,8,21271334,60
dexbotic,carrot,12,8,21271335,60
dexbotic,carrot,13,8,21271336,60
dexbotic,carrot,14,8,21271337,60
dexbotic,carrot,15,8,21271338,60
dexbotic,carrot,16,8,21271339,60
dexbotic,carrot,17,8,21271340,60
dexbotic,carrot,18,8,21271341,60
dexbotic,carrot,19,8,21271342,60
dexbotic,carrot,20,8,21271343,60
dexbotic,carrot,21,8,21271344,60
dexbotic,carrot,22,8,21271345,60
dexbotic,carrot,23,8,21271346,60
dexbotic,carrot,0,9,21271423,60
dexbotic,carrot,1,9,21271424,60
dexbotic,carrot,2,9,21271425,60
dexbotic,carrot,3,9,21271426,60
dexbotic,carrot,4,9,21271427,60
dexbotic,carrot,5,9,21271428,60
dexbotic,carrot,6,9,21271429,60
dexbotic,carrot,7,9,21271430,60
dexbotic,carrot,8,9,21271431,60
dexbotic,carrot,9,9,21271432,60
dexbotic,carrot,10,9,21271433,60
dexbotic,carrot,11,9,21271434,60
dexbotic,carrot,12,9,21271435,60
dexbotic,carrot,13,9,21271436,60
dexbotic,carrot,14,9,21271437,60
dexbotic,carrot,15,9,21271438,60
dexbotic,carrot,16,9,21271439,60
dexbotic,carrot,17,9,21271440,60
dexbotic,carrot,18,9,21271441,60
dexbotic,carrot,19,9,21271442,60
dexbotic,carrot,20,9,21271443,60
dexbotic,carrot,21,9,21271444,60
dexbotic,carrot,22,9,21271445,60
dexbotic,carrot,23,9,21271446,60
dexbotic,carrot,0,10,21271523,60
dexbotic,carrot,1,10,21271524,60
dexbotic,carrot,2,10,21271525,60
dexbotic,carrot,3,10,21271526,60
dexbotic,carrot,4,10,21271527,60
dexbotic,carrot,5,10,21271528,60
dexbotic,carrot,6,10,21271529,60
dexbotic,carrot,7,10,21271530,60
dexbotic,carrot,8,10,21271531,60
dexbotic,carrot,9,10,21271532,60
dexbotic,carrot,10,10,21271533,60
dexbotic,carrot,11,10,21271534,60
dexbotic,carrot,12,10,21271535,60
dexbotic,carrot,13,10,21271536,60
dexbotic,carrot,14,10,21271537,60
dexbotic,carrot,15,10,21271538,60
dexbotic,carrot,16,10,21271539,60
dexbotic,carrot,17,10,21271540,60
dexbotic,carrot,18,10,21271541,60
dexbotic,carrot,19,10,21271542,60
dexbotic,carrot,20,10,21271543,60
dexbotic,carrot,21,10,21271544,60
dexbotic,carrot,22,10,21271545,60
dexbotic,carrot,23,10,21271546,60
dexbotic,carrot,0,11,21271623,60
dexbotic,carrot,1,11,21271624,60
dexbotic,carrot,2,11,21271625,60
dexbotic,carrot,3,11,21271626,60
dexbotic,carrot,4,11,21271627,60
dexbotic,carrot,5,11,21271628,60
dexbotic,carrot,6,11,21271629,60
dexbotic,carrot,7,11,21271630,60
dexbotic,carrot,8,11,21271631,60
dexbotic,carrot,9,11,21271632,60
dexbotic,carrot,10,11,21271633,60
dexbotic,carrot,11,11,21271634,60
dexbotic,carrot,12,11,21271635,60
dexbotic,carrot,13,11,21271636,60
dexbotic,carrot,14,11,21271637,60
dexbotic,carrot,15,11,21271638,60
dexbotic,carrot,16,11,21271639,60
dexbotic,carrot,17,11,21271640,60
dexbotic,carrot,18,11,21271641,60
dexbotic,carrot,19,11,21271642,60
dexbotic,carrot,20,11,21271643,60
dexbotic,carrot,21,11,21271644,60
dexbotic,carrot,22,11,21271645,60
dexbotic,carrot,23,11,21271646,60
